sample,chr,arm,median_bpWeighted,total_bins,total_bpOverlap,top_event,top_event_bp,top_event_fraction
P-0004805-T01-IM5,chr8,p,-0.651102446,71.06226591,77000194,Losses,61665034,0.80084258
P-0004805-T01-IM5,chr8,q,0.5544,225.5925918,202757272,Gains,202757272,1
P-0004836-T01-IM5,chr1,q,0.596460118,525.6341652,245065732,Gains,188816888,0.770474462
P-0004836-T01-IM5,chr11,q,0.339672103,538.9568086,160180120,Losses,114872656,0.717146772
P-0004836-T01-IM5,chr12,p,-0.21664886,268.8659212,64723322,Losses,38162278,0.589621744
P-0004836-T01-IM5,chr13,q,-0.12845,424,180119646,Losses,178998166,0.993773694
P-0004836-T01-IM5,chr16,q,-0.680869183,341.5604433,99778378,Losses,99778378,1
P-0004836-T01-IM5,chr17,p,-0.184682266,328.5514313,45739682,Losses,31894926,0.697314118
P-0004836-T01-IM5,chr19,q,-0.040072903,350.8800019,56306112,Losses,42854682,0.761101779
P-0004836-T01-IM5,chr2,q,-0.336671386,477.8050211,294847630,Losses,277539620,0.94129846
P-0004836-T01-IM5,chr4,p,0.015058035,153.3786069,85125418,Losses,84312884,0.99045486
P-0004836-T01-IM5,chr4,q,-0.4368,380.2794645,277889110,Losses,277889110,1
P-0004836-T01-IM5,chr5,p,0.577105988,217.6477339,87101698,Gains,75716614,0.869289758
P-0004836-T01-IM5,chr6,q,-0.4353,386,211404190,Losses,211404190,1
P-0004836-T01-IM5,chr8,p,-0.8437,98,76586400,Losses,76586400,1
P-0004930-T01-IM5,chr1,q,0.606981798,427.329051,188269258,Gains,188269258,1
P-0004930-T01-IM5,chr7,p,0.5957,196.1202177,112354922,Gains,112354922,1
P-0004930-T01-IM5,chr7,q,0.648891171,491.8797823,178425888,Gains,132886992,0.744774166
P-0004930-T01-IM5,chr8,p,-0.884693065,98.77237854,81196976,Losses,81196976,1
P-0004930-T01-IM5,chr8,q,0.419266635,197.6960076,189784968,Gains,157724548,0.831069761
P-0005038-T02-IM6,chr17,q,0.2505696,742.6489794,109443676,Gains,70895124,0.647777255
P-0005038-T02-IM6,chr8,p,-0.5135,145.6244483,86389538,Losses,86389538,1
P-0005038-T02-IM6,chr8,q,0.289035782,360.1391164,197021990,Gains,170696854,0.866384783
P-0005202-T01-IM5,chr1,p,-0.353579118,762.0224895,238407140,Losses,236103302,0.990336539
P-0005202-T01-IM5,chr3,p,-0.457293368,426.9011051,172978516,Losses,93347126,0.539645779
P-0005202-T01-IM5,chr3,q,-0.3114,584.8080969,212491118,Losses,212491118,1
P-0005357-T01-IM5,chr1,q,0.4289,428.5285037,246512844,Gains,246512844,1
P-0005671-T01-IM5,chr17,p,-0.312207377,286.5833747,38434532,Losses,34033318,0.885488029
P-0005671-T01-IM5,chr6,q,-0.262734684,424.3847636,215630540,Losses,196480624,0.911191077
P-0005779-T01-IM5,chr10,p,0.291112946,68.81260723,73704398,Gains,55196018,0.748883642
P-0005779-T01-IM5,chr12,p,-0.653448631,251.0003614,64121656,Losses,50527998,0.788002075
P-0005779-T01-IM5,chr16,q,-0.32215,328,75592056,Losses,75590766,0.999982935
P-0005779-T01-IM5,chr17,p,-0.260008232,287.4508352,43177074,Losses,34325856,0.795001903
P-0005779-T01-IM5,chr17,q,0.247938198,736.5491648,105180870,Gains,79244142,0.753408315
P-0005779-T01-IM5,chr19,p,-0.386269581,605.7671578,48470760,Losses,24624492,0.508027768
P-0005779-T01-IM5,chr20,q,0.4218,326,60344586,Gains,60344586,1
P-0005779-T01-IM5,chr21,q,0.4918,130,55723470,Gains,55723470,1
P-0005779-T01-IM5,chr22,q,-0.268833333,204,36900430,Losses,26429868,0.716248239
P-0005779-T01-IM5,chr8,p,-0.508050221,78.82059924,84683236,Losses,57863062,0.683288272
P-0005782-T01-IM5,chr1,q,0.4001,428.5285037,246512844,Gains,246512844,1
P-0005782-T01-IM5,chr17,p,-0.8248,260,43389452,Losses,43389452,1
P-0005782-T01-IM5,chr17,q,0.4057,764,102721304,Gains,102721304,1
P-0005782-T01-IM5,chr7,p,0.392,246.5268606,112354922,Gains,112354922,1
P-0005782-T01-IM5,chr7,q,0.392,441.4731394,201201930,Gains,201201930,1
P-0005782-T01-IM5,chr8,p,-0.7163,98,76586400,Losses,76586400,1
P-0005782-T01-IM5,chr8,q,0.372,198.6836261,182474702,Gains,182474702,1
P-0005854-T01-IM5,chr1,q,0.7871,427.5284715,195347954,Gains,195347954,1
P-0005854-T01-IM5,chr18,p,-0.675805005,45.18702238,26152878,Losses,19454336,0.743869795
P-0005854-T01-IM5,chr6,p,1.0143,296,93034310,Gains,93034310,1
P-0005854-T01-IM5,chr6,q,-0.8692,386,211404190,Losses,211404190,1
P-0005854-T01-IM5,chr8,p,-0.7606,98,76586400,Losses,76586400,1
P-0005854-T01-IM5,chr8,q,1.03,158,179170826,Gains,179170826,1
P-0006082-T01-IM5,chr17,p,-0.5993,260,43389452,Losses,43389452,1
P-0006082-T01-IM5,chr6,p,0.057780503,255.6964788,102747754,Gains,62416406,0.607472218
P-0006102-T01-IM5,chr1,q,0.319893462,430.3883171,246510912,Gains,170489462,0.691610203
P-0006102-T01-IM5,chr10,q,-0.148213792,273.4565552,153548034,Losses,95697688,0.623242679
P-0006102-T01-IM5,chr12,p,0.270499198,246.8814625,57533314,Losses,37170150,0.646063079
P-0006102-T01-IM5,chr14,q,-0.23135,252,154346922,Losses,118350350,0.766781407
P-0006102-T01-IM5,chr16,p,-0.281232098,319.0497133,68007094,Losses,54483192,0.801139834
P-0006102-T01-IM5,chr17,p,-0.302246329,232.9469113,42355258,Losses,26184446,0.618210046
P-0006102-T01-IM5,chr18,q,-0.013243804,199.496602,96365994,Losses,87900840,0.912156211
P-0006102-T01-IM5,chr19,p,-0.218262753,709.4405574,49724334,Losses,33461160,0.672933297
P-0006102-T01-IM5,chr19,q,0.8132,266.5594426,63476338,Gains,63476338,1
P-0006102-T01-IM5,chr22,q,0.337,204,60634858,Gains,60634858,1
P-0006102-T01-IM5,chr4,q,-0.534605991,371.407272,277205992,Losses,262536674,0.947081526
P-0006102-T01-IM5,chr5,p,0.470908121,216.397161,91756906,Gains,77605378,0.845771522
P-0006102-T01-IM5,chr6,q,-0.552288345,387.4909771,195980564,Losses,131766370,0.67234407
P-0006102-T01-IM5,chr8,p,-0.4342,98,76586400,Losses,76586400,1
P-0006102-T01-IM5,chr9,p,-0.6694,210,73224054,Losses,73224054,1
P-0006199-T03-IM5,chr1,p,-0.590966667,764,233658620,Losses,233658620,1
P-0006199-T03-IM5,chr1,q,1.244219551,427.1689275,186359054,Gains,186359054,1
P-0006199-T03-IM5,chr12,p,-0.203088565,223.222045,54528344,Losses,31829470,0.583723393
P-0006199-T03-IM5,chr13,q,-0.3529,424,180130084,Losses,153541092,0.852390054
P-0006199-T03-IM5,chr15,q,-0.535,360,147290498,Losses,147290498,1
P-0006199-T03-IM5,chr22,q,0.4057,204,60634858,Gains,60634858,1
P-0006199-T03-IM5,chr8,q,1.20378,158,151129970,Gains,151129970,1
P-0006538-T01-IM5,chr1,p,0.3437,585.5578082,238423726,Gains,238423726,1
P-0006538-T01-IM5,chr1,q,0.3437,605.4243134,246512844,Gains,246512844,1
P-0006538-T01-IM5,chr13,q,-0.5846,424,180228680,Losses,180228680,1
P-0006538-T01-IM5,chr15,q,-0.3651,360,147290498,Losses,147290498,1
P-0006538-T01-IM5,chr17,p,-0.70286791,286.5833747,38434532,Losses,34033318,0.885488029
P-0006538-T01-IM5,chr17,q,0.4557,737.4166253,113546018,Gains,113546018,1
P-0006538-T01-IM5,chr19,q,0.696,314,59015416,Gains,59015416,1
P-0006538-T01-IM5,chr4,p,0.09154411,135.7575624,87379540,Losses,65541500,0.750078336
P-0006538-T01-IM5,chr4,q,-0.5775,397.5222655,277889110,Losses,277889110,1
P-0006538-T01-IM5,chr7,p,1.034407257,260.6758582,109402770,Gains,107201182,0.979876305
P-0006538-T01-IM5,chr9,p,-0.5722,178.3816485,93876042,Losses,93876042,1
P-0006538-T01-IM5,chr9,q,-0.5722,345.9652228,182069434,Losses,182069434,1
P-0006599-T01-IM5,chr13,q,-0.3149,424,180228680,Losses,180228680,1
P-0006599-T01-IM5,chr19,p,0.547462385,555.4432738,50679312,Gains,50679312,1
P-0006599-T01-IM5,chr19,q,0.3527,420.5567262,63476338,Gains,63476338,1
P-0006599-T01-IM5,chr8,q,0.5428,198.6836261,182474702,Gains,182474702,1
P-0006633-T01-IM5,chr1,q,0.536308777,427.4611382,193902478,Gains,193902478,1
P-0006633-T01-IM5,chr14,q,-0.0769,252,170561446,Losses,135120450,0.792209806
P-0006633-T01-IM5,chr16,p,0.151816667,324,54530286,Gains,35890650,0.658178283
P-0006633-T01-IM5,chr16,q,-0.27785,328,67624944,Losses,63936334,0.94545489
P-0006633-T01-IM5,chr17,p,-0.276575,260,41157878,Losses,27670850,0.672309928
P-0006633-T01-IM5,chr17,q,0.3166,764,100704670,Gains,93693472,0.930378621
P-0006633-T01-IM5,chr18,q,-0.210526698,201.6573324,96365994,Losses,87900840,0.912156211
P-0006633-T01-IM5,chr4,q,-0.393327877,344.2714929,277036526,Losses,242049342,0.87370913
P-0006633-T01-IM5,chr8,p,-0.304998052,68.3593394,82031914,Losses,71054380,0.866179716
P-0006633-T01-IM5,chr8,q,0.3921,228.2794971,202757272,Gains,202757272,1
P-0006662-T01-IM5,chr1,q,0.857350857,427.4192291,188268756,Gains,188268756,1
P-0006662-T01-IM5,chr12,p,-0.621625,228,53949432,Losses,40760282,0.755527547
P-0006662-T01-IM5,chr22,q,0.400933333,204,54886328,Gains,45035976,0.820531773
P-0006662-T01-IM5,chr6,p,0.696666667,296,92293204,Gains,92293204,1
P-0006662-T01-IM5,chr6,q,-0.814911111,386,185552964,Losses,185552964,1
P-0006662-T01-IM5,chr7,p,0.3317,246.5268606,112354922,Gains,112354922,1
P-0006662-T01-IM5,chr7,q,0.3317,441.4731394,201201930,Gains,201201930,1
P-0006662-T01-IM5,chr8,p,-0.295596833,78.59586455,82940534,Losses,52366978,0.631379803
P-0007157-T01-IM5,chr1,q,0.3797,428.5285037,246512844,Gains,246512844,1
P-0007157-T01-IM5,chr6,p,0.785979013,295.3361088,112786054,Gains,112786054,1
P-0007157-T01-IM5,chr6,q,-0.343842747,386.6638912,218281462,Losses,205267868,0.940381589
P-0007157-T01-IM5,chr7,p,0.3398,190.8352016,112354922,Gains,112354922,1
P-0007157-T01-IM5,chr7,q,0.458318433,497.1647984,187539414,Gains,142000518,0.757176931
P-0007157-T01-IM5,chr8,p,-0.6298,98,67357460,Losses,67357460,1
P-0007157-T01-IM5,chr8,q,0.7097,158,179170826,Gains,179170826,1
P-0007353-T01-IM5,chr1,q,0.645835728,566.8250668,245067368,Gains,188818524,0.770475994
P-0007353-T01-IM5,chr6,p,0.5464,268.032156,116393480,Gains,116393480,1
P-0007353-T01-IM5,chr6,q,-0.270181884,413.967844,218281462,Losses,205267868,0.940381589
P-0007353-T01-IM5,chr8,q,0.5154,225.5925918,202757272,Gains,202757272,1
P-0007505-T01-IM5,chr8,q,0.228917742,331.3150085,290310252,Gains,210839031,0.72625417
P-0007773-T01-IM5,chr1,q,0.3114,430.4101843,246512844,Gains,246512844,1
P-0007773-T01-IM5,chr14,q,-0.27085,252,167470658,Losses,92699738,0.553528237
P-0007773-T01-IM5,chr19,q,0.284345663,365.7121465,57574124,Gains,47990092,0.833535774
P-0007773-T01-IM5,chr8,p,-0.3972,98,76586400,Losses,76586400,1
P-0007773-T01-IM5,chr8,q,0.4776,198.6836261,182474702,Gains,182474702,1
P-0007905-T01-IM5,chr1,p,0.642444596,672.5394293,222865876,Gains,216512258,0.971491293
P-0007905-T01-IM5,chr1,q,0.472783964,519.0070958,241505882,Gains,239972616,0.993651227
P-0007905-T01-IM5,chr12,p,-0.4657,264.3627579,68950552,Losses,68950552,1
P-0007905-T01-IM5,chr12,q,-0.207682184,496.9857563,177405580,Losses,177358824,0.999736446
P-0007905-T01-IM5,chr13,q,-1.350166667,424,180014642,Losses,180014642,1
P-0007905-T01-IM5,chr15,q,-0.4785,360,147290498,Losses,147290498,1
P-0007905-T01-IM5,chr16,q,-0.514310616,433.53981,99778378,Losses,62899176,0.63038884
P-0007905-T01-IM5,chr17,p,-0.38826042,305.5698312,38434532,Losses,34033318,0.885488029
P-0007905-T01-IM5,chr18,p,0.3803,58.18658283,33070946,Gains,33070946,1
P-0007905-T01-IM5,chr18,q,0.063511979,177.8134172,110876092,Gains,80601122,0.726947717
P-0007905-T01-IM5,chr22,q,-0.3351,204,60634858,Losses,60634858,1
P-0007905-T01-IM5,chr4,p,-0.13263786,153.3786069,85125418,Losses,84312884,0.99045486
P-0007905-T01-IM5,chr4,q,-0.5622,380.2794645,277889110,Losses,277889110,1
P-0008555-T01-IM5,chr1,q,0.5514,427.5284715,195347954,Gains,195347954,1
P-0008555-T01-IM5,chr17,q,0.331,764,102721304,Gains,102721304,1
P-0008555-T01-IM5,chr21,q,-0.5892,130,55723470,Losses,55723470,1
P-0008555-T01-IM5,chr22,q,-0.6165,204,60634858,Losses,60634858,1
P-0008555-T01-IM5,chr5,p,0.644907951,151.3380093,82170112,Losses,57422094,0.698819712
P-0008555-T01-IM5,chr5,q,0.4756,606.2116356,260776518,Gains,260776518,1
P-0008555-T01-IM5,chr8,p,-0.392,98,76586400,Losses,76586400,1
P-0008555-T01-IM5,chr8,q,1.1033,198.6836261,182474702,Gains,182474702,1
P-0008564-T01-IM5,chr14,q,-0.3228,252,171117020,Losses,171117020,1
P-0008750-T01-IM5,chr8,p,-0.4133,98,76586400,Losses,76586400,1
P-0009255-T01-IM5,chr1,p,-0.4782,764,236247694,Losses,236247694,1
P-0009255-T01-IM5,chr1,q,0.4877,427.5284715,195347954,Gains,195347954,1
P-0009255-T01-IM5,chr15,q,-0.3823,360,147290498,Losses,147290498,1
P-0009255-T01-IM5,chr17,p,-0.3747,214.8011664,47790664,Losses,47790664,1
P-0009540-T01-IM5,chr10,q,-0.313797515,260.5456056,180401628,Losses,168069536,0.931640905
P-0009540-T01-IM5,chr17,p,-0.43,260,43389452,Losses,43389452,1
P-0009540-T01-IM5,chr17,q,0.2394,764,102606146,Gains,98833238,0.96322922
P-0009540-T01-IM5,chr4,p,-0.3296,134.5024154,93734702,Losses,93734702,1
P-0009540-T01-IM5,chr4,q,-0.3296,398.7504702,277889110,Losses,277889110,1
P-0009644-T01-IM5,chr16,p,-0.627000629,295.2944021,70596010,Losses,70596010,1
P-0009644-T01-IM5,chr16,q,-0.680634857,356.7055979,99477100,Losses,99477100,1
P-0009644-T01-IM5,chr17,p,-0.547233107,292.4163981,34571414,Losses,30170200,0.872692103
P-0009644-T01-IM5,chr19,p,0.401357462,529.7667546,44780310,Gains,32959936,0.736036352
P-0009644-T01-IM5,chr22,q,-0.495,204,60634858,Losses,60634858,1
P-0009644-T01-IM5,chr4,q,-0.500746587,321.2555757,262244710,Losses,223104082,0.850747693
P-0009644-T01-IM5,chr6,p,0.824751329,302.0900583,90745688,Gains,36563054,0.402917811
P-0009644-T01-IM5,chr6,q,-0.634494268,379.9099417,222722628,Losses,222722628,1
P-0009644-T01-IM5,chr7,p,0.406914558,212.3511889,104264392,Gains,104045804,0.997903522
P-0009644-T01-IM5,chr7,q,0.616651553,475.6488111,169165824,Gains,169165824,1
